ImagePath,Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65
train_nb\bcc\bcc00016.jpg,bcc,3539,5673,3127,14035,14291,17366,8848,9467,25139,11985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.028713832507508,9.337048668951395,13.664728538233827,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00017.jpg,bcc,11202,15716,1863,10526,4692,16981,8123,16367,44281,31083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.266079746204205,51.15244193572346,65.50970567326975,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00018.jpg,bcc,164,204,123,661,1321,889,221,223,239,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.823775720164609,2.359084362139918,3.170740740740741,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00019.jpg,bcc,8267,11598,3591,12487,9363,20315,10344,16711,30926,24134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.030491039692734,53.048934206198474,71.91730681492642,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00020.jpg,bcc,215,412,208,961,1806,1633,490,409,403,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5642420609237235,2.4332539337287398,2.491095396237626,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00021.jpg,bcc,2556,3524,500,5955,12317,9223,2539,3853,21413,7329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.788263005443029,3.783480461331155,3.834648112977326,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00022.jpg,bcc,2012,2622,2168,4738,6841,5863,3076,2576,2586,4679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7844341563786,34.69101851851852,76.19513374485598,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00023.jpg,bcc,987,1690,927,5466,5754,7044,2811,2543,6844,3643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8471548769748223,2.60305944890662,3.0937092170739215,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00024.jpg,bcc,11983,15863,8145,20166,16639,22793,11781,15900,22091,29932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.44805249923077,81.5307987352651,88.82848359133784,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00025.jpg,bcc,1716,2561,898,3455,3462,6505,2971,4184,7075,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.592321934450233,7.807608038281574,12.04534796125158,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00026.jpg,bcc,2114,2987,670,2646,2107,4485,2115,3292,6148,5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.212129629629636,47.23456790123457,62.26716049382716,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00027.jpg,bcc,877,1205,538,5838,13132,13925,2603,2366,48057,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.831966386911267,3.7563395898099716,3.8414068053772454,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00028.jpg,bcc,10572,9770,1100,9055,4908,15705,6053,15362,44367,19450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.39331451792592,54.09661375717515,70.15494063597492,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00029.jpg,bcc,9218,12636,2531,10985,7280,17503,9432,15715,34807,25072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.344170760432473,43.29236649725727,58.385571730204035,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00030.jpg,bcc,1901,2202,1232,3047,4215,4642,2347,2286,2336,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.59133744855967,35.813384773662555,54.84384773662552,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00031.jpg,bcc,9323,10343,2301,13839,18764,23800,9642,16861,43452,21737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.15389022695202,80.49838194569705,92.5918895691201,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00032.jpg,bcc,5142,8211,523,6596,12149,14419,3763,8691,73793,16182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31577788623752,3.121571581661344,3.084202484907002,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00033.jpg,bcc,7795,9991,4645,8816,9129,11475,9101,11641,16807,22596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.74350390985581,36.95299154367686,47.03026292056149,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00034.jpg,bcc,1596,2519,877,2670,2438,4145,2220,2726,3812,4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38620370370371,37.60399176954733,46.685318930041156,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00035.jpg,bcc,5050,6201,1547,7493,6210,13330,6085,10224,21369,12513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.28250697620134,31.94870767859606,43.131576992859344,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00036.jpg,bcc,8576,10352,2340,9835,7977,17684,8017,13927,33372,21434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8661152903479,67.18732294241849,66.95106314125348,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00037.jpg,bcc,7740,8885,1635,7175,4562,12053,6337,12403,29988,18455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.457681248607415,31.924070812422414,46.537199333679936,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00038.jpg,bcc,8511,14875,1398,10628,11856,15893,5724,10439,75771,30479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450304512514722,2.4141237572812444,2.500949612197477,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00039.jpg,bcc,2909,3488,282,3587,9573,6354,1463,3799,30709,6686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.805780432683636,1.9584160044138401,2.420044244501268,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00040.jpg,bcc,7809,11947,1582,10420,15067,16195,6062,9795,53388,26127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202508779934005,3.1595348491761186,3.990334114950822,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00041.jpg,bcc,516,861,992,3945,3956,3994,1951,1062,1298,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.390815817674459,4.176017782682044,3.7366523782745706,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00042.jpg,bcc,2812,4079,2952,8561,15704,14785,6458,5760,6750,8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.354465299366572,12.107109889760105,15.733328735583402,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00043.jpg,bcc,5227,4082,370,3104,1434,5122,1760,5544,19170,8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.887118165709982,27.168224596547446,28.927474031554713,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00044.jpg,bcc,2061,3373,1215,3510,2973,5363,3028,3676,5186,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.229691358024695,57.807582304526754,66.79043209876544,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00045.jpg,bcc,698,982,633,3009,3880,4067,1709,1428,4325,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8992933612027716,1.9324077709047311,1.7101772963108364,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00046.jpg,bcc,13169,15861,3409,11329,6531,18228,8917,17974,38850,31724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.25686479432143,67.88974418826726,73.88298549586733,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00047.jpg,bcc,4353,8127,654,8608,16244,17591,4154,8476,60127,15772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.441108128468207,3.565448970280852,4.233400354380418,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00048.jpg,bcc,11121,16161,3394,13544,8488,21743,11733,21306,47374,33487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.63004912518966,75.29276703201096,90.79517024053307,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00049.jpg,bcc,6255,8733,4009,9152,10393,13065,8963,8961,11031,17296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18767573130749,41.66508663221891,49.45683243323537,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00050.jpg,bcc,2460,3786,1319,6593,8704,8590,3676,3818,16668,7768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.690089550021751,2.8157593184012564,3.276376937686342,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00051.jpg,bcc,9065,13216,4697,16413,13806,25735,12961,19172,32900,26608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.75634224235801,47.90555867966769,70.10783138282635,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00052.jpg,bcc,7193,9663,5166,14835,22904,24139,10927,11396,13415,17885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.59584451824423,47.162243100722556,59.78382264002801,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00053.jpg,bcc,3925,5274,587,6960,16821,13804,2657,5443,50187,9086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5756745429659733,3.76427070844253,6.578422582732974,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00054.jpg,bcc,475,687,260,1150,2924,2525,720,672,641,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4026646090535,14.707191358024692,19.643477366255144,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00055.jpg,bcc,2116,3434,1159,4539,3522,6873,3439,4953,8591,6263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.18444444444445,72.22893004115227,89.7560596707819,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00056.jpg,bcc,614,882,623,2085,3393,3329,1366,1040,1539,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14839414741801,1.91738373881951,2.0789000413797494,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00057.jpg,bcc,748,1197,852,6379,7377,7545,2849,2013,5648,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.113765132786555,4.392070472896265,4.513708368258549,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00058.jpg,bcc,11037,13807,3707,9730,6334,14168,9262,16557,35691,30474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.574154632940406,63.1817711593757,67.39179460790035,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00059.jpg,bcc,3135,5361,1787,7306,6669,12106,5889,7594,12994,9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.339221105794227,22.974087258220248,29.15530934015215,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00060.jpg,bcc,483,790,455,2104,4581,3877,1243,842,1062,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3540143662001722,3.3163640993538395,3.546098632346232,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00061.jpg,bcc,939,1426,448,5765,14402,21699,2354,3077,105962,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.719689333573831,3.5125571624102117,3.771554605353903,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00062.jpg,bcc,1152,1771,906,2757,3134,4286,2242,2112,2280,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.50106995884774,41.0735596707819,52.37216049382717,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00063.jpg,bcc,11947,15035,2762,8382,4130,12440,7793,15281,36668,31235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.13819510021327,57.36291896996255,70.74587528780147,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00064.jpg,bcc,8073,11761,4437,15978,15637,24397,12082,16233,28239,23657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.964116330146744,58.51770575815129,74.52757323685132,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00065.jpg,bcc,418,994,719,3607,4236,4577,1909,1542,1319,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.262809154473787,5.491655083873569,6.7782682044371825,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00066.jpg,bcc,2815,4090,797,3124,1907,4805,2279,3808,7412,7393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.958678606669567,15.610091353754417,17.08058971447973,0.0,375769.0,2452.0,0.7853981633974483
